Comp Ch 3,Comp Ch 4
-0.0274137,0.0336728
-0.0312064,0.0124089
-0.0285094,-0.00535732
-0.0408465,0.00733104
-0.0395737,0.0319323
-0.0200925,0.0295751
-0.0139258,0.017581
-0.0217992,-0.0111856
-0.0227302,-0.00175793
-0.0284644,0.0189359
-0.0299125,0.0177645
-0.0167121,-0.00755136
0.0681943,-0.0304222
0.218224,-0.0275918
0.21171,-0.0540235
0.0553848,-0.0803949
-0.0747033,-0.0578164
-0.159749,0.0213577
-0.185132,0.0276153
-0.0625526,-0.0306907
0.100199,-0.0290451
0.184107,0.0066836
0.220255,0.02726
0.123199,0.0270853
-0.046643,0.00376672
-0.23095,0.020713
-0.110152,0.0447091
0.0523855,0.0401383
0.142399,0.00323795
0.214852,-0.0209448
0.0728594,-0.00841402
-0.340643,-0.022783
-0.310311,-0.00482223
-0.023711,0.00794487
-0.0650716,-0.0138333
-0.0843884,-0.0264219
-0.0164338,0.00223621
-0.00659174,0.0143582
-0.0260757,0.00304853
-0.020792,0.0032483
0.00754965,0.00390365
-0.00657656,0.00473478
-0.0314037,0.00168851
-0.0121896,0.00262778
-0.000400531,-0.00100372
-0.00235317,0.000631202
0.0612312,-0.00206385
0.112226,-0.0113772
0.0498927,-0.0238726
-0.0328818,-0.0203131
-0.0610549,-0.00480694
-0.0667752,0.00190787
0.082957,0.019587
0.20927,0.0285864
0.102595,0.000233887
-0.015263,-0.0465007
0.00628213,-0.00755088
-0.05395,0.0747359
-0.0137395,0.0442464
-0.0303192,0.0131375
-0.100478,-0.00166612
-0.049408,-0.0112239
-0.00391432,-0.0283843
-0.00247168,-0.0221825
0.0235629,0.0104648
0.030932,0.0347594
-0.0173692,0.018062
-0.0259363,-6.47e-05
0.0168927,-0.00814387
0.0312024,-0.0235461
-0.0266422,-0.0279793
-0.070351,-0.0314539
-0.0188996,-0.0209202
0.0608799,-0.02537
0.0758136,-0.0170089
0.00903721,-0.00143633
-0.0418602,-0.0324929
-0.0257218,-0.0394974
0.0508207,-0.0183232
0.106848,0.0232316
0.108269,0.0181603
0.0714766,0.0263613
-0.00911131,0.0117184
-0.235806,-0.012204
-0.140392,-0.0499279
0.114146,-0.00784301
0.0883607,0.0395503
0.0285756,0.0243471
0.0831148,0.0405005
0.121813,0.0438081
0.11903,0.0320556
-0.0868272,0.0116454
-0.0854154,0.00201461
0.0728272,0.0094145
0.0421065,0.0328292
0.0282771,0.0281089
0.0211195,-0.00134597
0.00373997,-0.0160296
-0.00152558,-0.0173592
-0.0163069,-0.013404
-0.0250814,-9.02e-05
-0.00415266,0.0255827
-0.0073019,0.0309167
-0.022558,0.00528813
-0.0205199,-0.0107042
-0.00289183,-0.0140579
-0.00172206,-0.0245422
-0.0145119,-0.0237696
-0.0297409,-0.00456126
-0.0458344,0.00541999
-0.0289755,0.0127507
-0.0236698,0.0115659
-0.0423546,-0.00313771
-0.0511656,-0.028541
-0.0114936,-0.0258488
0.0678101,-0.0135015
0.0555238,-0.0125696
0.0412136,-0.0148183
0.00587508,-0.010534
-0.087703,-0.00530848
-0.140513,0.00654948
-0.120362,0.00907343
-0.0833868,-0.00333823
-0.0150489,-0.0110049
0.0321801,-0.0085926
0.0784106,-0.00452832
0.0325095,0.00295728
0.00375825,0.0131864
-0.0371466,0.0279267
-0.042459,0.0229826
0.0285841,0.00917825
-0.000484337,-0.000264093
-0.0428114,-0.0288974
0.0104032,-0.0228969
0.0636384,0.0147159
0.0351877,0.0214844
0.0396891,0.00342488
0.153769,-0.013604
